ts,host_mem_total_bytes,host_mem_used_bytes,host_mem_available_bytes,server_rss_kib,server_vsz_kib
2026-05-21T08:52:03Z,133975171072,18938458112,115036712960,1382968,9656620
2026-05-21T08:52:04Z,133975171072,18938122240,115037048832,1382976,9656620
2026-05-21T08:52:05Z,133975171072,18938769408,115036401664,1382976,9656620
2026-05-21T08:52:06Z,133975171072,18938609664,115036561408,1382976,9656620
2026-05-21T08:52:07Z,133975171072,18939138048,115036033024,1382976,9656620
2026-05-21T08:52:08Z,133975171072,18938626048,115036545024,1382976,9656620
2026-05-21T08:52:09Z,133975171072,18938535936,115036635136,1382976,9656620
2026-05-21T08:52:10Z,133975171072,18939031552,115036139520,1382976,9656620
2026-05-21T08:52:11Z,133975171072,18938322944,115036848128,1382976,9656620
2026-05-21T08:52:12Z,133975171072,18937802752,115037368320,1382976,9656620
2026-05-21T08:52:13Z,133975171072,18938228736,115036942336,1382976,9656620
2026-05-21T08:52:14Z,133975171072,18937827328,115037343744,1382976,9656620
2026-05-21T08:52:15Z,133975171072,18937704448,115037466624,1382976,9656620
2026-05-21T08:52:16Z,133975171072,18938478592,115036692480,1382976,9656620
2026-05-21T08:52:17Z,133975171072,18938306560,115036864512,1382976,9656620
2026-05-21T08:52:18Z,133975171072,18938142720,115037028352,1382976,9656620
2026-05-21T08:52:19Z,133975171072,18938765312,115036405760,1382976,9656620
2026-05-21T08:52:20Z,133975171072,18938527744,115036643328,1382976,9656620
2026-05-21T08:52:21Z,133975171072,18938613760,115036557312,1382976,9656620
2026-05-21T08:52:22Z,133975171072,18938458112,115036712960,1382976,9656620
2026-05-21T08:52:23Z,133975171072,18937937920,115037233152,1382976,9656620
2026-05-21T08:52:24Z,133975171072,18937937920,115037233152,1382976,9656620
2026-05-21T08:52:25Z,133975171072,18937905152,115037265920,1382976,9656620
2026-05-21T08:52:26Z,133975171072,18938671104,115036499968,1382976,9656620
2026-05-21T08:52:27Z,133975171072,18938499072,115036672000,1382976,9656620
2026-05-21T08:52:28Z,133975171072,18938667008,115036504064,1382976,9656620
2026-05-21T08:52:29Z,133975171072,18938535936,115036635136,1382976,9656620
2026-05-21T08:52:30Z,133975171072,18938351616,115036819456,1382976,9656620
2026-05-21T08:52:31Z,133975171072,18938130432,115037040640,1382976,9656620
2026-05-21T08:52:32Z,133975171072,18937368576,115037802496,1382976,9656620
2026-05-21T08:52:33Z,133975171072,18937520128,115037650944,1382976,9656620
2026-05-21T08:52:34Z,133975171072,18938142720,115037028352,1382976,9656620
2026-05-21T08:52:35Z,133975171072,18937856000,115037315072,1382976,9656620
2026-05-21T08:52:36Z,133975171072,18937688064,115037483008,1382976,9656620
2026-05-21T08:52:37Z,133975171072,18937442304,115037728768,1382976,9656620
2026-05-21T08:52:38Z,133975171072,18937409536,115037761536,1382976,9656620
2026-05-21T08:52:39Z,133975171072,18937208832,115037962240,1382976,9656620
2026-05-21T08:52:40Z,133975171072,18945286144,115029884928,1382976,9656620
2026-05-21T08:52:41Z,133975171072,18946031616,115029139456,1382976,9656620
2026-05-21T08:52:42Z,133975171072,18945503232,115029667840,1382976,9656620
2026-05-21T08:52:43Z,133975171072,18947145728,115028025344,1382976,9656620
2026-05-21T08:52:44Z,133975171072,18948694016,115026477056,1382976,9656620
2026-05-21T08:52:45Z,133975171072,18948460544,115026710528,1382976,9656620
2026-05-21T08:52:46Z,133975171072,18948030464,115027140608,1382976,9656620
2026-05-21T08:52:47Z,133975171072,18947350528,115027820544,1382976,9656620
2026-05-21T08:52:48Z,133975171072,18946236416,115028934656,1382976,9656620
2026-05-21T08:52:49Z,133975171072,18946998272,115028172800,1382976,9656620
2026-05-21T08:52:50Z,133975171072,18947051520,115028119552,1382976,9656620
2026-05-21T08:52:51Z,133975171072,18947289088,115027881984,1382980,9656620
2026-05-21T08:52:52Z,133975171072,18947121152,115028049920,1382980,9656620
2026-05-21T08:52:53Z,133975171072,18947620864,115027550208,1382980,9656620
2026-05-21T08:52:54Z,133975171072,18947321856,115027849216,1382980,9656620
2026-05-21T08:52:55Z,133975171072,18947035136,115028135936,1382980,9656620
2026-05-21T08:52:56Z,133975171072,18946945024,115028226048,1382980,9656620
2026-05-21T08:52:57Z,133975171072,18947588096,115027582976,1382980,9656620
2026-05-21T08:52:58Z,133975171072,18947129344,115028041728,1382980,9656620
2026-05-21T08:52:59Z,133975171072,18948591616,115026579456,1382980,9656620
2026-05-21T08:53:00Z,133975171072,18746290176,115228880896,1382984,9656620
2026-05-21T08:53:01Z,133975171072,7043764224,126931406848,1384132,9657576
